OBJECTID,HUC8,VALUE_11,VALUE_12,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_82,VALUE_90,VALUE_95,HUC_8,HUC_8_NAME,AdminBasin,BasReport
1,16040201,108900.000000000000000,0.000000000000000,4471200.000000000000000,572400.000000000000000,7200.000000000000000,0.000000000000000,5161500.000000000000000,216000.000000000000000,5411700.000000000000000,0.000000000000000,1287407700.000000000000000,70919100.000000000000000,1904400.000000000000000,55800.000000000000000,1943100.000000000000000,22102200.000000000000000,16040201,Upper Quinn,Owyhee,Owyhee
2,16040205,87300.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,72000.000000000000000,0.000000000000000,762300.000000000000000,0.000000000000000,686154600.000000000000000,11268900.000000000000000,12600.000000000000000,0.000000000000000,0.000000000000000,798300.000000000000000,16040205,Thousand-Virgin,Malheur Lakes,Malheur Lakes
3,17050103,5904900.000000000000000,0.000000000000000,8232300.000000000000000,711900.000000000000000,40500.000000000000000,5400.000000000000000,627300.000000000000000,0.000000000000000,2283300.000000000000000,0.000000000000000,572598900.000000000000000,145932300.000000000000000,16669800.000000000000000,70257600.000000000000000,605700.000000000000000,12052800.000000000000000,17050103,Middle Snake-Succor,Owyhee,Owyhee
4,17050105,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,21925800.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,17050105,South Fork Owyhee,Owyhee,Owyhee
5,17050106,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,81000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,342487800.000000000000000,734400.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,10800.000000000000000,17050106,East Little Owyhee,Owyhee,Owyhee
6,17050107,3988800.000000000000000,0.000000000000000,2645100.000000000000000,796500.000000000000000,15300.000000000000000,0.000000000000000,1609200.000000000000000,0.000000000000000,15149700.000000000000000,0.000000000000000,2842742700.000000000000000,230320800.000000000000000,5733000.000000000000000,61200.000000000000000,303300.000000000000000,7440300.000000000000000,17050107,Middle Owyhee,Owyhee,Owyhee
7,17050108,10824300.000000000000000,0.000000000000000,13248900.000000000000000,849600.000000000000000,27000.000000000000000,9000.000000000000000,91182600.000000000000000,26100.000000000000000,7889400.000000000000000,0.000000000000000,1403082000.000000000000000,197041500.000000000000000,46707300.000000000000000,1169100.000000000000000,16809300.000000000000000,23733900.000000000000000,17050108,Jordan,Owyhee,Owyhee
8,17050109,247500.000000000000000,0.000000000000000,3851100.000000000000000,7145100.000000000000000,284400.000000000000000,1800.000000000000000,2989800.000000000000000,0.000000000000000,588600.000000000000000,0.000000000000000,3198223800.000000000000000,223775100.000000000000000,3394800.000000000000000,1827000.000000000000000,139500.000000000000000,544500.000000000000000,17050109,Crooked-Rattlesnake,Owyhee,Owyhee
9,17050110,42588900.000000000000000,0.000000000000000,10688400.000000000000000,1546200.000000000000000,79200.000000000000000,6300.000000000000000,22286700.000000000000000,0.000000000000000,12851100.000000000000000,0.000000000000000,4408367400.000000000000000,505833300.000000000000000,23336100.000000000000000,80082000.000000000000000,477900.000000000000000,8272800.000000000000000,17050110,Lower Owyhee,Owyhee,Owyhee
10,17050115,1683000.000000000000000,0.000000000000000,21799800.000000000000000,11012400.000000000000000,5259600.000000000000000,219600.000000000000000,0.000000000000000,0.000000000000000,5400.000000000000000,0.000000000000000,29811600.000000000000000,97497900.000000000000000,31058100.000000000000000,215893800.000000000000000,277200.000000000000000,697500.000000000000000,17050115,Middle Snake-Payette,Malheur,Malheur
